,Council,TaxRate,Pay,Details,Name,Title,Population,AdjustedPay,ProportionAsPay
159,Kirklees,1222.09,155468,"Salary including fees & allowances £102,390; Pension contributions £14,335; The Director of Finance and Performance became Chief Executive on 01 August 2010. The 2010-11 figure is a combination of  ",,Chief Executive (Formerly Director of Finance and Performance),406800.0,0.382173058014,0.312720878179
160,Kirklees,1222.09,36354,"Salary including fees & allowances £31,890; Pension contributions £4,464. R Vincent ceased his duties as Chief Executive on 30 June 2010. His annualised salary was £161,666. He is now employed as Chief Executive at Doncaster Council, and although Kirklees continue to pay his salary, Doncaster Council is fully recharged and have agreed to include his remuneration in their note.",R Vincent,Chief Executive,406800.0,0.0893657817109,0.0731253685988
161,Knowsley,1273.37,224769,"Salary £181,893; Benefits in kind £10,135; Pension contributions £32,741",S M Ramsey,Chief Executive,149400.0,1.50447791165,1.18149313369
162,Lambeth,925.29,246939,"Salary, fees & allowances £213,629; Expense allowances £2,334; Pension contributions £30,976",Derrick Anderson,Chief Executive,283300.0,0.871651959054,0.94203110274
163,Lancashire,1108.3,205048,"Salary (including fees and allowances) £165,756; Expense allowance £413; Benefits in kind £9,374; Pension contribution £29,505; Left post 6 February 2011",G Fitzgerald,Chief Executive,1165800.0,0.175886086807,0.158698986563
164,Lancaster,204.42,129000,"Salary, fees and allowances £107,000; Expenses & Benefits in kind £2,000; Pension contribution £20,000",M Cullinan,Chief Executive,139800.0,0.922746781116,4.51397505682
165,Leeds,1129.53,130173,"Salary, fees and allowances £114,087; Pension contributions £16,086; Began post 16 August 2010",Thomas Riiordan,Chief Executive,787700.0,0.165257077568,0.146306054348
166,Leeds,1129.53,87316,"Salary, fees and allowances £76,981; Pension contribution £10,335",Paul Rogerson,Chief Executive,787700.0,0.110849308112,0.0981375511162
167,Leicester,1186.22,208322,"Salary, fees and allowances £174,165; Expenses allowances £195; Pension contributions £33,962",S Lock,Chief Executive,304700.0,0.683695438136,0.576364787422
168,Leicestershire,1063.0,230000,"Salary £187,000; Benefits in kind £5,000; Pension contributions £38,000",John Sinnott,Chief Executive,644700.0,0.356755079882,0.3356115521
169,Lewes,264.26,36892,"Salary £29,977; Expenses £99; Benefits in Kind £1,088; Pension contribution £5,728. Retired 4 July 2010",,Chief Executive,96400.0,0.382697095436,1.4481839682
170,Lewisham,1042.11,230864,"Salary (inc fees & allowances) £192,387; Pension contributions £38,477",B Quirk,Chief Executive,264500.0,0.872831758034,0.837562021316
171,Lichfield,178.92,126708,"Salary, fees & allowances £108,480; Pension contributions £18,228",,Chief Executive,98300.0,1.28899287894,7.20429733368
172,Lincolnshire,1065.69,207113,"Salary £173,226; Pension contribution £32,740; Other emoluments £1,147",Tony McArdle,Chief Executive,697900.0,0.296766012323,0.278473113497
173,Liverpool,1308.14,182727,"Salary £113,175; Bonuses £26,396; Expenses allowances £197; Compensation for loss of employment £30,000; Pension contributions £12,959;  Left post 31 May 2010",Colin Hilton,Chief Executive,442300.0,0.413129097897,0.315814131437
174,Luton,1143.89,144630,"Salary (including fees and allowances) £128,923; Pension contributions £15,707; Joined the council on 28 June 2010",T Holden,Chief Executive,194300.0,0.744364384972,0.650730738945
176,Maidstone,238.55,136000,"Salary £102,000; Benefits in kind £5,000; Pension contributions £29,000",,Chief Executive,148200.0,0.917678812416,3.8469034266
178,Maldon,209.69,104000,"Salary £94,000; Pension contributions £10,000;  Started 16 October 2009, annualised salary £86,000",,Chief Executive,62900.0,1.65341812401,7.88505948785
179,Malvern Hills,185.82,130725,"Salary £111,928; Pension contributions £18,797",,Chief Executive,75000.0,1.743,9.38004520504
180,Manchester,1130.01,232410,"Salary £203,934; Expenses allowances £741; Pension contributions £27,735",Sir Howard Bernstein,Chief Executive of the Council and Clerk of the Greater Manchester Integrated Transport Authority,483800.0,0.480384456387,0.425115225871
181,Manchester,1130.01,136320,"Salary £120,000; Pension contributions £16,320",,Chief Executive of New East Manchester Ltd,483800.0,0.281769326168,0.249351179342
182,Melton,201.13,101384,"Salary £83,269.16; Expenses £1,445.02; Pension contributions £16,669.56",,Chief Executive,48900.0,2.07329243354,10.3082207206
184,Mendip,196.76,112292,"Salary £93,762; Expenses £2,071; Benefits in kind £96; Pension contributions £16,363",,Chief Executive,108700.0,1.0330450782,5.25027992578
185,Merthyr Tydfil,1298.71,125437,"Salary £108,677; Expenses £719; Benefits £1,040; Pension contributions £15,001",,Chief Executive,55700.0,2.25201077199,1.73403667639
186,Merton,1106.57,212325,"Salary £186,250; Pension contributions £26,075",Ged Curran,Chief Executive,206400.0,1.02870639535,0.929635174773
187,Mid Devon,213.82,114833,"Salary £98,233; Expenses £716; Benefits in kind £1,239; Pension contributions £14,646",,Chief Executive,76000.0,1.51096052632,7.06650699802
188,Mid Suffolk,203.39,395091,"Salary £111,553; Expenses allowances £78; Pension contributions £26,860; End of employment payment £256,600",,Chief Executive,94200.0,4.19417197452,20.621328357
189,Mid Sussex,204.47,127101,"As Chief Executive: Salary £47,549; Expenses £781; Pension contributions £10,969. As Deputy Chief Executive: Salary £54,198; Expenses £1,049; Pension contributions £12,555. Became Chief Executive 20 October 2010 ",,Chief Executive (Formerly Deputy Chief Executive),131600.0,0.965813069909,4.72349523113
190,Mid Sussex,204.47,43312,"Salary £34,645; Expenses £683; Pension contributions £7,984. Left 30 June 2010.",J Jory,Chief Executive,131600.0,0.329118541033,1.60961774849
191,Middlesbrough,1261.98,167471,"Salary £142,650; Pension contributions £24,821",,Chief Executive,140500.0,1.19196441281,0.944519257683
192,Midlothian,1210.0,134030,"Salary £109,198; Returning Officer £2,948; Pension contributions £21,286; Returning Officer Pension contributions £598",K Lawrie,Chief Executive,80800.0,1.65878712871,1.37089845348
193,Milton Keynes,1175.59,184201,"Salary £155,000; Expense allowances £371; Pension contributions £28,830",D Hill,Chief Executive,236700.0,0.778204478243,0.66196929052
194,Mole Valley,155.26,130919,"Salary £107,630; Expenses allowances £6,138; Pension contributions £17,151",,Chief Executive,83800.0,1.56227923628,10.0623421118
195,Monmouthshire,1188.71,135439,"Salary £110,000; Expense allowances £1,239; Pension contributions £24,200",,Chief Executive,88000.0,1.53907954545,1.29474770588
196,Neath Port Talbot,1343.02,154525,"Salary £134,253; Pension contributions £20,272;  Started 5 October 2009",SJ Phillips,Chief Executive,137400.0,1.12463609898,0.837393411104
197,New Forest,220.12,148734,"Salary £121,269; Benefits in kind £4,303; Pension contributions £23,162",,Chief Executive,176400.0,0.843163265306,3.83047094906
198,Newcastle upon Tyne,1355.09,199101,"Salary £173,784; Expenses allowances £963; Pension contributions £24,354",Barry Rowland,Chief Executive,284300.0,0.700320084418,0.516807064046
199,Newcastle-under-Lyme,186.06,104911,"Salary £84,743; Benefits in kind £1,779; Pension contributions £18,389",,Chief Executive,124200.0,0.844694041868,4.53990133219
200,Newham,945.63,234783,"Salary £188,022; Pension contributions £46,761. Started 12 July 2010",K Bromley Derry,"Chief Executive (Formerly Executive Director Children, Schools and Families)",241200.0,0.973395522388,1.02936193055
201,Newham,945.63,189108,"Salary £147,352; Compensation for loss of employment £20,123; Pension contributions £21,633. Left 10 August 2010",J Duckworth,Chief Executive,241200.0,0.784029850746,0.829108478735
202,Norfolk,1145.07,256900,"Salary £205,400; Performance award £12,300; Pension contributions £39,200",D White,Chief Executive,853400.0,0.30103116944,0.262893246212
203,North Ayrshire,1152.0,150323,"Salary £126,597; Taxable expenses £685; Returning Officer fees £3,546; Pension contributions £23,041; Returning Officer Pension Contributions £645",Elma Murray,Chief Executive,135500.0,1.10939483395,0.963016348913
204,North Devon,207.99,115518,"Salary £89,736.21; Expenses allowances £4,181; Bonuses £5,000; Pension contributions £16,601.21",M Mansell,Chief Executive,91500.0,1.26249180328,6.06996395634
205,North Dorset,176.82,107634,"Salary £91,871; Other payments £2,545; Pension contributions £13,218",,Chief Executive,64300.0,1.67393468118,9.46688542689
206,North East Derbyshire,257.25,349074,"Salary £109,000; Benefits in kind £1,900; Termination payments £216,156; Pension contributions £22,018",M Goodwin,Chief Executive,98000.0,3.56197959184,13.8463735348
207,North East Lincolnshire,1258.59,184667,"Salary £150,000; Expense allowances £3,057; Pension contributions £31,610",A Hunter,Chief Executive,157100.0,1.17547422024,0.933961194862
208,North Hertfordshire,213.76,142789,"Salary £117,205; Pension contributions £25,584",John Campbell,Chief Executive,124700.0,1.14506014435,5.35675591479
209,North Lanarkshire,1098.0,177830,"Remuneration £161,239; Pension contributions £16,591",Gavin Whitefield,Chief Executive,326300.0,0.544989273675,0.496347243784
210,North Lincolnshire,1310.82,163762,"Salary £129,699; Benefits in kind £5,140; Pension contributions £28,923",,Chief Executive,161000.0,1.0171552795,0.775968690974
211,North Norfolk,173.54,136600,"Salary £107,883; Expenses allowances £8,224; Pension contributions £20,493",,Chief Executive,101200.0,1.34980237154,7.77804754835
212,North Somerset,1194.91,171753,"Salary £144,817; Pension contributions £26,936",,Chief Executive,209100.0,0.821391678623,0.687408824617
213,North Tyneside,1328.06,224711,"Salary £196,021; Pension contributions £28,690",John Marsden,Chief Executive,197200.0,1.13950811359,0.858024572376
215,North Warwickshire,251.24,118891,"Salary £97,181; Expenses allowances £6,841; Pension contribution £14,869",,Chief Executive,61900.0,1.92069466882,7.64486016885
216,North West Leicestershire,220.03,145856,"Salary £117,938; Other £4,920; Pension contributions £22,998",,Chief Executive,90600.0,1.60988962472,7.31668238297
217,North Yorkshire,1057.48,138968,"Salary £116,250; Expenses allowances £398; Pension contributions £22,320. Started 1 July 2010",Richard Flinton,Chief Executive,597700.0,0.23250460097,0.219866665063
219,Northampton,223.5,177000,"Salary £138,000; Benefits in kind £1,000; Pension contributions £38,000",,Chief Executive,210500.0,0.840855106888,3.76221524335
220,Northamptonshire,1028.11,187000,"Salary £156,000; Expenses allowances £1,000; Pension contributions £30,000. Appointed June 2010 - annualised salary £161,000",P Blantern,Chief Executive (Formerly Corporate Director of Customer and Community Services),683800.0,0.273471775373,0.26599466533
221,Northamptonshire,1028.11,44000,"Salary £37,000; Pension contributions £7,000. Left June 2010 annualised salary 3£197,000",K Kerswell,Chief Executive,683800.0,0.0643463000877,0.0625869800778
223,Norwich,225.87,158360,"Salary £131,058; Pension contributions £27,302",,Chief Executive Officer,140100.0,1.13033547466,5.00436301705
224,Nottingham,1332.28,193929,"Salary £165,000; Expense allowances £219; Pension contributions £28,710",Jane Todd,Chief Executive,300800.0,0.644710771277,0.483915371601
226,Nottinghamshire,1193.18,216493,"Salary £184,338; Expense allowances £68; Pension contributions £32,087",M Burrows,Chief Executive,776600.0,0.278770280711,0.233636400804
227,Oldham,1350.16,216000,"Salary, fees & allowances £186,000; Expenses allowances £2,000; Pension contributions £28,000",C Parker,"Chief Executive, Head of Paid Service and Clerk to GMWDA",218800.0,0.987202925046,0.731174768209
228,Orkney Islands,1037.0,122207,"Salary, fees & allowances £101,398; Expenses allowances £124; Benefits other than cash £20,685Shared by Shetland Islands Council",Alistair Buchan,Chief Executive,20000.0,6.11035,5.89233365477
229,Oxford,266.63,168280,"Salary, fees & allowances £140,000; Pension contributions £28,280",,Chief Executive,149300.0,1.12712659076,4.22730596991
230,Oxfordshire,1161.71,217640,"Salary (incl fees & allowances) £182,431; Pension contributions £35,209",Joanna Simons,Chief Executive,640300.0,0.339903170389,0.292588658434
231,Pembrokeshire,895.47,195164,"Taxable salary £159,462; Benefits in kind £10,361; Pension contributions £25,341",D B Parry-Jones,Chief Executive,117400.0,1.66238500852,1.85643852783
232,Pendle,253.52,159960,"Salary, fees & allowances £121,090; Expenses allowances £285; Benefits in kind £9,819; Pension contributions £28,766",,Chief Executive,89300.0,1.79126539754,7.06557824841
233,Peterborough,1102.28,205126,"Salary £170,175; Election duties £5,000; Pension contributions £29,951",G Beasley,Chief Executive,171200.0,1.19816588785,1.08698868513
234,Plymouth,1244.67,211323,"Salaries £182,505; Fees & allowances £1,442; Pension contributions £27,376",Barry Keel,Chief Executive,256700.0,0.823229450721,0.661403786321
235,Poole,1209.6,147020,"Salary (including fees & allowances) £124,941; Pension contributions £22,079",,Chief Executive,141200.0,1.04121813031,0.860795411964
236,Portsmouth,1149.12,177322,"Salary & allowances £148,885; Pension contributions £28,437",,Chief Executive,203500.0,0.871361179361,0.758285626707
237,Powys,1102.7,157000,"Salary (incl fees & allowances) £127,000; Pension contributions £30,000",,Chief Executive,131700.0,1.192103265,1.08107668903
238,Preston,261.5,136000,"Salary (incl fees & allowances) £118,000; Pension contributions £18,000",,Chief Executive,134600.0,1.01040118871,3.86386687842
239,Reading,1288.8,170188,"Salary (including fees & allowances) £148,377; Pension contributions £21,811",Michael Coughlin,Chief Executive,151800.0,1.12113306983,0.869904616565
240,Redbridge,1095.53,223478,"Salary including fees & allowances £181,542; Pension contributions £41,936",Roger Hampson,Chief Executive,267700.0,0.834807620471,0.76201256056
241,Renfrewshire,1165.0,163840,"Salary £132,722, Fees & allowances £6,053, Expenses £65, Pension contributions £25,000. ",David Martin,Chief Executive,169900.0,0.964331959976,0.827752755345
242,Ribble Valley,157.38,106150,"Salary £88,257; Benefits in kind £6,155; Pension contributions £11,738",,Chief Executive,57700.0,1.83968804159,11.6894652535
243,Richmond upon Thames,1287.39,220859,"Salary, fees & allowances £178,528; Expenses allowances £216; Pension contributions £42,115",Gillian Norton,Chief Executive,189000.0,1.16856613757,0.907701735734
244,Rochdale,1285.38,175000,"Salary £149,000; Expenses £3,000; Pension contributions £23,000",Roger Ellis,Chief Executive,204700.0,0.85490962384,0.665102634116
245,Rochford,233.34,133065,"Salary including fees & allowances £116,849; Bonuses £84; Expense allowances £289; Benefits in kind £1,369; Pension contributions £14,474",,Chief Executive,83100.0,1.60126353791,6.86236195211
246,Rossendale,255.88,119459,"Salary £97,276; Other expenses £958; Local elections £2,448; Pension contributions £18,776",,Chief Executive,67100.0,1.78031296572,6.95760890153
247,Rother,209.88,122000,"Salary & allowances £94,000; Pension contributions £23,000; Other £5,000",,Chief Executive,89200.0,1.36771300448,6.5166428649
248,Rotherham,1258.27,187360,"Remuneration £159,999.96; Pension contributions £27,360",M Kimber,Chief Executive,253900.0,0.737928318236,0.586462617908
250,Runnymede,136.89,110400,"Salary (including fees & allowances) £110,400; Pension contributions £0. Started 1 September 2009",,Chief Executive,83900.0,1.31585220501,9.61247866905
251,Rushcliffe,174.91,131170,"Salary, fees & allowances £112,282; Lease car £5,784; Pension contributions £13,104",,Chief Executive,111700.0,1.17430617726,6.71377381088
252,Rushmoor,184.07,141028,"Salary and allowances £113,469; Expenses allowances £5,040; Pension contributions £22,519",,Chief Executive,91100.0,1.54805708013,8.41015418119
253,Rutland,1466.43,132024,"Salary (including fees & allowances) £111,285; Expense allowances £162; Benefits in kind £963; Pension contributions £19,614",,Chief Executive,38400.0,3.438125,2.3445544622
254,Ryedale,209.61,131066,"Salary, fees & allowances £104,460; Expenses allowances £5,505; Pension contributions £21,101",,Chief Executive,53600.0,2.44526119403,11.6657659178
255,Salford,1326.31,210392,"Salary (including fees & allowances) £182,458; Expense allowances £914; Pension contributions £27,020",B Spicer,Chief Executive,225100.0,0.934660151044,0.704707158239
256,Sandwell,1175.73,112595,"Salary £63,829; Other emoluments £38,043; Pension contributions £10,723. Left 1 September 2010",Doctor M A Fraser,Chief Executive,291000.0,0.386924398625,0.329092902814
257,Scarborough,227.76,133794,"Salary £110,693; Expense allowances £1,184; Pension contributions £21,917",,Chief Executive,108500.0,1.23312442396,5.41413955024
258,Scottish Borders,1084.0,144596,"Salaries, fees and allowances £123,136; Pension contributions £21,460",D Hume,Chief Executive,112700.0,1.28301685892,1.1835948883
259,Sedgemoor,172.68,119331,"Salary £98,534; Taxable benefits £3,821; Pension contributions £16,976",,Chief Executive,112100.0,1.06450490633,6.16461029843
260,Sefton,1277.24,174142,"Salary (including fees & allowances) £148,379; Expense allowances £390; Pension contributions £25,373",M Carney,Chief Executive,273300.0,0.637182583242,0.498874591496
261,Selby,204.89,114057,"Salary (including fees & allowances) £92,852; Benefits in kind £963; Pension contributions £20,242",,Chief Executive,82200.0,1.38755474453,6.77219358937
262,Sevenoaks,246.8,158156,"Salary £133,683; Expenses £392; Pension contributions £20,594; Other Benefits/payments £3,487",,Chief Executive,113200.0,1.39713780919,5.66101219282
263,Sheffield,1285.75,217814,"Salary including fees and allowances £184,588; Pension contributions £33,226",John Mothersole,Chief Executive,547000.0,0.398197440585,0.309700517663
264,Shepway,280.85,127886,"Salary including fees and allowances £112,800; Pension contributions £15,086",,Chief Executive,100300.0,1.27503489531,4.53991417238
267,Slough,1157.81,185030,"Salaries, fees & allowances £160,480; Pension contributions £24,550",Ruth Bagley,Chief Executive,128400.0,1.44104361371,1.24462875058
268,Solihull,1190.03,171958,"Salary, fees & allowances £137,478; Expenses allowance £692; Pension contribution £25,070; Other emoluments £8,718",,Chief Executive,205200.0,0.838001949318,0.704185566177
269,Somerset,1027.3,184186,"Salary (including fees & allowances) £160,000; Benefits in kind £26.20; Pension contributions £24,159.96. Started 1 February 2010",Sheila Wheeler,Chief Executive,523500.0,0.351835721108,0.342485857206
271,South Ayrshire,1154.0,151789,"Gross salary and allowances £128,983; Taxable expenses £96; Benefits in kind £135; Pension contribution £22,575",D J Anderson,Chief Executive,111400.0,1.36255834829,1.18072647166
272,South Bucks,194.92,128388,"Salary, fees & allowances £105,102; Benefits in kind £797; Pension contributions £22,489",,Chief Executive,66600.0,1.92774774775,9.88994329852
273,South Cambridgeshire,177.27,211817,"Salary £51,637; Returning officer fees £12,696; Benefits in kind £2,944; Compensation for loss of office £103,387; Pension contributions £41,154. Left 31 August 2010",,Chief Executive,144500.0,1.4658615917,8.26909004172
274,South Derbyshire,167.35,133835,"Salary, fees & allowances £110,235; Expenses allowances £1,664; Pension contributions £21,936",,Chief Executive,92800.0,1.4421875,8.61779205258
275,South Gloucestershire,1299.7,191459,"Salary £163,920; Pension contributions £27,539",A Deeks,Chief Executive,262200.0,0.730202135774,0.561823602196
276,South Holland,184.38,145187,"Salary, fees & allowances £118,742; Expenses allowances £871; Pension contributions £25,574;  Shared Chief Executive with Breckland DC who are recharged 50 per cent of the cost.",,Chief Executive (Shared 50 per cent with Breckland DC),84100.0,1.72636147444,9.36306255795
277,South Kesteven,163.8,134000,"Salary, fees & allowances £111,000; Pension contributions £23,000",,Chief Executive,131200.0,1.02134146341,6.23529586944
278,South Lakeland,199.36,118267,"Salary, fees & allowances £96,860; Expenses allowances £3,459; Pension contributions £17,948. Became Chief Executive on 1 Aug 2010",,Chief Executive (Formerly Corporate Director Communities),103800.0,1.13937379576,5.71515748275
279,South Lakeland,199.36,41966,"Salary, fees & allowances £16,377; Expenses allowances £354; Compensation for loss of office £22,201; Pension contributions £3,034. Left 1 July 2010",,Chief Executive,103800.0,0.40429672447,2.02797313639
280,South Lanarkshire,1101.0,186653,"Salary/fees £156,878; Expenses £271; Pension contributions £29,504",A Strang,Chief Executive,310900.0,0.60036346092,0.545289246975
281,South Norfolk,191.72,146498,"Salary £121,567; Expenses £1,225; Pension contributions £23,706",,Chief Executive,119700.0,1.22387635756,6.38366554121
282,South Northamptonshire,226.96,135829,"Salary (including fees & allowances) £107,184; Expense allowances £2,131; Benefits in kind £1,031; Pension contributions £25,483",,Chief Executive,88500.0,1.53479096045,6.76238526812
285,South Staffordshire,143.95,111300,"Salary (including fees & allowances) £94,731; Benefits in kind £1,269; Pension contributions £15,300",,Chief Executive,106300.0,1.04703668862,7.2736136757
286,South Tyneside,1291.53,175457,"Salary (including fees & allowances) £152,229; Allowances £698; Pension contributions £22,530;  Appointed to the post on 20 January 2010",M Swales,Chief Executive,152400.0,1.15129265092,0.891417660386
287,Southampton,1239.21,140725,"Salary (including fees & allowances) £116,471; Expense allowances £2,008; Pension contributions £22,246.  Left 3 December 2010",Brad Roynon,Chief Executive,236700.0,0.594528939586,0.479764478648
288,Southend-on-Sea,1121.15,171012,"Salary £147,408; Consolidated into future salary £1,473; Pension contributions £19,206; Local election duties £25; Car allowances, etc. £2,900",Rob Tinlin,Chief Executive,164200.0,1.04148599269,0.928944380941
289,Southwark,912.14,195510,"Remuneration £182,089; Pension contributions £13,421",A Shepperd,Chief Executive,285600.0,0.684558823529,0.750497537143
290,Spelthorne,167.3,129720,"Taxable salary £111,813; Pension contributions £17,907",,Chief Executive,92600.0,1.40086393089,8.37336479908
291,St Albans,206.78,141000,"Salary, fees & allowances £105,000; Benefits in kind £7,000; Pension contributions £29,000",,Chief Executive,137200.0,1.027696793,4.97000093337
292,St Edmundsbury,213.51,148585,"Salary (including fees and allowances) £126,357; Expenses allowances £1,273; Pension contributions £20,955",,Chief Executive Officer,103500.0,1.43560386473,6.72382494841
293,Stafford,166.28,132677,"Salary, fees & allowances £108,212; Benefits in kind £7,876; Pension contribution £16,589",,Chief Executive,125500.0,1.057187251,6.35787377313
295,Staffordshire,1028.81,224884,"Salary, fees & allowances £193,206; Pension contributions £31,678",Nick Bell,Chief Executive,828700.0,0.27136961506,0.26377039012
296,Stevenage,188.52,150897,"Salary, fees & allowances £110,730; Expenses allowances £299; Other emoluments £7,571; Pension contributions £32,297",,Chief Executive,81000.0,1.86292592593,9.88184768686
297,Stirling,1209.0,124937,"Salary, fees & allowances £105,315; Expense allowances £139; Pension contributions £19,483",Bob Jack,Chief Executive,88700.0,1.40853438557,1.16504084828
298,Stockport,1363.58,202000,"Salary, fees & allowances £167,000; Benefits in kind £10,000; Pension contributions £25,000. Started April 2010",E Boylan,Chief Executive,283700.0,0.712019739161,0.52216939172
299,Stockport,1363.58,18000,"Left on the 5 April 2010. Annualised Salary £160,424",J R Shultz,Chief Executive,283700.0,0.0634473034896,0.0465299457968
300,Stockton-on-Tees,1231.49,189201,"Salary (including fees & allowances )£161,093; Expense allowances £1,227; Benefits in kind £229; Pension contributions £26,652",Neil Schneider,Chief Executive,191100.0,0.990062794349,0.803955204142
301,Stoke-on-Trent,1143.55,226575,"Salary (including fees & allowances) £191,032; Expense allowances £5,664; Benefits in kind £1,239; Pension contributions £28,640. Started 4 January 2010, annualised salary £179,000",J van de Laarschot,Chief Executive,238900.0,0.948409376308,0.829355407554
302,Stratford-on-Avon,180.63,131305,"Salary (Including fees & allowances) £113,095; Expenses allowances £611; Pension contributions £17,599",,Chief Executive,118900.0,1.1043313709,6.11377606654
303,Stroud,241.67,137178,"Salary, fees and allowances  £110,568.96; Pension contributions £26,609.16",,Chief Executive,111100.0,1.23472547255,5.10913838105
304,Suffolk,1126.53,267775,"Salary, fees and allowances £218,592; Pension contributions £49,183",Andrea Hill,Chief Executive,714000.0,0.375035014006,0.332911696986
305,Suffolk Coastal,191.66,158395,"Salary, fees and allowances £138,306; Benefits in kind £1,008; Pension contributions £19,081",,Chief Executive,124100.0,1.27634971797,6.6594475528
306,Sunderland,1186.62,229547,"Salary (including fees & allowances) £193,148; Benefits in kind £7,905; Pension contributions £28,494",Dave Smith,Chief Executive,281700.0,0.814863329783,0.686709586711
307,Surrey,1116.36,253133,"Salary £210,000; Expense allowances £12,053; Pension contributions £31,080. Started 13 July 2009, annualised salary £210,000",D McNulty,Chief Executive,1113100.0,0.22741263139,0.203709046714
308,Surrey Heath,203.01,84000,"Salary (including fees and allowances) £69,000; Expenses £1,000; Benefits in kind £3,000; Pension Contributions £11,000. Left 3 November 2010",,Chief Executive,83900.0,1.00119189511,4.93173683618
309,Sutton,1140.89,112035,"Salary, fees & allowances £92,303; Pension contributions £19,732;  Left office end of June 2010",Paul Martin,Chief Executive,192200.0,0.58290842872,0.510924303588
310,Swale,176.16,178200,"Salary (including fees & allowances) £135,000; Pension contributions £43,200",,Chief Executive,131900.0,1.35102350265,7.66929781252
311,Swindon,1173.49,198393,"Salary & allowances £171,188; Expenses £842; Pension contributions £26,363",Gavin Jones,Chief Executive,198800.0,0.997952716298,0.850414333567
312,Tameside,1169.14,192469,"Salary £166,929; Pension contributions £25,540",Stephen Pleasant,Chief Executive,215400.0,0.893542246982,0.764273095594
313,Tamworth,149.55,126959,"Salary, fees & allowances £106,773; Expenses allowances £1,419; Pension contributions £18,767",,Chief Executive,75700.0,1.6771334214,11.2145330752
314,Tandridge,206.4,153775,"Salary (including fees & allowances) £128,106; Expense allowances £224; Benefits in kind £4,307; Pension contributions £21,138",S Weigel,Chief Executive,82200.0,1.87074209246,9.06367292857
315,Taunton Deane,146.8,120221,"Salary, fees & allowances £100,786; Expenses allowances £4,317; Pension contributions £15,118",,Chief Executive,108700.0,1.10598896044,7.53398474415
316,Teignbridge,194.38,158380,"Salary (incl fees & allowances) £136,088; Benefits in kind £1,330; Pension contributions £20,962. Chief executive is contracted to Torridge Council and Teignbridge council was reimbursed £90,111 for remuneration of Chief executive",,Chief Executive (shared with Torridge),126900.0,1.24806934594,6.42077037731
317,Tendring,177.56,183254,"Salary, fees & allowances £96,461; Expense allowances £379; Pension contributions £13,213; Compensation for loss of office £73,201. Left post on 3 January 2011.",,Chief Executive ,148000.0,1.2382027027,6.97343265771
318,Test Valley,152.11,147000,"Salary (incl fees & allowances) £119,000; Car allowances & other expenses £6,000; Pension contributions £22,000",,Chief Executive,113400.0,1.2962962963,8.52209779959
319,Tewkesbury,140.99,120435,"Salary, fees & allowances £105,000; Pension contributions £15,435.  Started 21 September 2009, annualised salary 105,000",,Chief Executive,80600.0,1.49423076923,10.5981329827
320,Thanet,226.2,140037,"Salary, fees & allowances £118,353; Other cash benefits £5,000; Pension contribution £16,684",,Chief Executive,130900.0,1.0698013751,4.72944904994
321,Three Rivers,192.78,140745,"Salary £116,181; Expenses allowances £1,239; Pension contribution £23,325",,Chief Executive,88100.0,1.59755959137,8.28695710848
322,Thurrock,1105.56,139091,"Salary, fees & allowances £124,273; Pension contribution £14,818. Started 2 August 2011, annualised salary £185,000.",Graham Farrant,Chief Executive,157200.0,0.884802798982,0.800320922412
323,Torbay,1265.01,175000,"Salary £151,000; Expenses £1,000; Pension contribution £23,000",Elizabeth Raikes,Chief Executive,134000.0,1.30597014925,1.03237930866
324,Torfaen,1145.38,133749,"Salary (incl fees & allowances) £144,204, Income £7,000, Taxable expense allowances £984, Pension contribution £25,561. Salary includes a fee for acting as returning officer for elections of £2,926 and income of £7,000 is shown in respect of fees earned by the individual but donated to the Authority.",,Chief Executive,90700.0,1.4746306505,1.28745975178
325,Tower Hamlets,885.52,215583,"Salary, fees and allowances £186,336; Expenses £192; Pension contribution £29,055",K A Collins,Chief Executive,234800.0,0.918155877342,1.03685504262
326,Trafford,1106.34,205000,"Salary (incl fees & allowances) £170,000; Bonuses £6,000; Benefits in kind £3,000; Pension contribution £26,000;  Appointed to post 7 September 2009, annualised salary £170,000",J Callender,Chief Executive,215300.0,0.952159777055,0.860639384868
327,Tunbridge Wells,180.76,127527,"Salary £112,316; Pension contribution £15,211",,Chief Executive,107600.0,1.18519516729,6.55673360968
328,Uttlesford,209.58,117658,"Salary, fees and allowances £102,151; Benefits in kind £2,738; Pension contribution £12,769",,Chief Executive,75600.0,1.55632275132,7.42591254568
329,Wakefield,1122.58,220451,"Salary (incl fees & allowances) £193,343; Pension contribution £27,108",Joanne Roney,Chief Executive,323900.0,0.680614387157,0.606294773786
330,Walsall,1384.64,226582,"Salary, fees and allowances £189,533; Bonuses £11,201; Expense allowances £1,358; Pension contribution £24,490",Paul Sheehan,Chief Executive,255900.0,0.885431809301,0.639467160634
331,Waltham Forest,1152.21,432213,"Salary (incl fees & allowances) £50,000; Compensation for loss of office £150,590; Pension contributions £231,623. Left  June 2010, annualised salary £225,000. Employers pension contributions include a sum payable in 2011-12 to reimburse the pension fund for early payment of pension.",Andrew Kilburn,Chief Executive,224300.0,1.92694159608,1.6723874954
