ORDER	Area	Local authority	ONS Code	Mid- 1999 population	Mid-2008 population	Components of change 2008-2009: Live births	Components of change 2008-2009: Deaths	Components of change 2008-2009: Natural change	Components of change 2008-2009: Net migration & other changes	"Total change, 2008-2009"	Mid-2009 population	% change 2008-2009	% change 1999 to 2009
243	EAST	Forest Heath	42UC	62.2	60.8	0.9	0.5	0.4	1.0	1.4	62.2	2.3	0.0
244	EAST	Ipswich	42UD	116.3	125.4	1.9	1.1	0.8	0.4	1.2	126.6	1.0	8.9
245	EAST	Mid Suffolk	42UE	85.1	93.7	1.0	0.9	0.1	0.4	0.5	94.2	0.5	10.7
246	EAST	St Edmundsbury	42UF	96.6	102.9	1.2	0.9	0.3	0.3	0.6	103.5	0.6	7.1
247	EAST	Suffolk Coastal	42UG	114.7	124.1	1.1	1.4	-0.3	0.3	0.0	124.1	0.0	8.2
248	EAST	Waveney	42UH	110.4	117.9	1.2	1.3	-0.1	-0.1	-0.1	117.7	-0.2	6.6
249	LONDON	LONDON		"7,153.9"	"7,668.3"	127.7	49.3	78.5	6.8	85.2	"7,753.6"	1.1	8.4
250	LONDON	Inner London		"2,750.7"	"3,030.1"	52.6	16.2	36.5	-5.4	31.1	"3,061.1"	1.0	11.3
251	LONDON	Camden	00AG	190.0	226.5	3.1	1.1	1.9	2.8	4.8	231.2	2.1	21.7
252	LONDON	City of London	00AA	6.6	11.3	0.1	0.0	0.0	0.1	0.2	11.5	1.8	74.2
253	LONDON	Hackney	00AM	199.1	212.8	4.4	1.1	3.3	-0.2	3.2	216.0	1.5	8.5
254	LONDON	Hammersmith and Fulham	00AN	160.6	168.6	2.7	0.9	1.8	-0.7	1.1	169.7	0.7	5.7
255	LONDON	Haringey	00AP	218.6	225.3	4.2	1.1	3.1	-2.9	0.2	225.5	0.1	3.2
256	LONDON	Islington	00AU	175.7	188.5	2.9	1.1	1.8	1.5	3.4	191.8	1.8	9.2
257	LONDON	Kensington and Chelsea	00AW	147.7	171.1	2.2	0.8	1.4	-2.6	-1.2	169.9	-0.7	15.0
258	LONDON	Lambeth	00AY	266.8	281.4	4.8	1.6	3.2	-1.3	1.9	283.3	0.7	6.2
259	LONDON	Lewisham	00AZ	250.3	262.0	4.8	1.7	3.1	-0.6	2.5	264.5	1.0	5.7
260	LONDON	Newham	00BB	240.5	242.4	5.9	1.4	4.5	-5.7	-1.2	241.2	-0.5	0.3
261	LONDON	Southwark	00BE	247.9	283.0	5.0	1.5	3.5	-0.9	2.6	285.6	0.9	15.2
262	LONDON	Tower Hamlets	00BG	193.5	226.8	4.2	1.1	3.1	4.8	7.9	234.8	3.5	21.3
263	LONDON	Wandsworth	00BJ	264.2	283.7	5.3	1.6	3.7	-0.8	2.9	286.6	1.0	8.5
264	LONDON	Westminster	00BK	189.2	246.6	2.9	1.1	1.9	0.9	2.8	249.4	1.1	31.8
265	LONDON	Outer London		"4,403.2"	"4,638.3"	75.1	33.1	42.0	12.2	54.2	"4,692.4"	1.2	6.6
266	LONDON	Barking and Dagenham	00AB	162.4	171.5	3.7	1.4	2.3	1.9	4.1	175.6	2.4	8.1
267	LONDON	Barnet	00AC	313.5	338.1	5.2	2.4	2.8	2.2	5.0	343.1	1.5	9.4
268	LONDON	Bexley	00AD	217.5	225.0	2.9	2.0	1.0	0.0	0.9	225.9	0.4	3.9
269	LONDON	Brent	00AE	260.3	254.5	5.0	1.6	3.4	-2.4	1.0	255.5	0.4	-1.8
270	LONDON	Bromley	00AF	294.9	308.0	4.0	2.6	1.3	0.8	2.1	310.2	0.7	5.2
271	LONDON	Croydon	00AH	332.1	341.2	5.2	2.5	2.8	-1.1	1.6	342.8	0.5	3.2
272	LONDON	Ealing	00AJ	302.3	312.1	5.5	1.9	3.6	0.9	4.5	316.6	1.4	4.7
273	LONDON	Enfield	00AK	272.7	289.0	4.9	2.1	2.8	-0.6	2.2	291.2	0.8	6.8
274	LONDON	Greenwich	00AL	212.2	223.7	4.4	1.7	2.8	-0.4	2.4	226.1	1.1	6.6
275	LONDON	Harrow	00AQ	207.9	225.4	3.3	1.4	1.8	0.9	2.8	228.1	1.2	9.7
276	LONDON	Havering	00AR	225.7	232.3	2.7	2.2	0.5	1.3	1.8	234.1	0.8	3.7
277	LONDON	Hillingdon	00AS	245.1	258.1	4.1	1.9	2.3	2.2	4.5	262.5	1.7	7.1
278	LONDON	Hounslow	00AT	214.3	230.2	4.2	1.4	2.8	1.2	4.0	234.2	1.7	9.3
279	LONDON	Kingston upon Thames	00AX	146.0	164.6	2.3	1.0	1.3	0.9	2.1	166.7	1.3	14.2
280	LONDON	Merton	00BA	185.1	202.8	3.4	1.2	2.2	1.5	3.7	206.4	1.8	11.5
281	LONDON	Redbridge	00BC	238.1	263.8	4.1	1.8	2.3	1.6	3.9	267.7	1.5	12.4
282	LONDON	Richmond upon Thames	00BD	172.8	187.2	2.8	1.1	1.7	0.0	1.8	189.0	1.0	9.4
283	LONDON	Sutton	00BF	179.4	189.5	2.7	1.4	1.3	1.5	2.8	192.2	1.4	7.1
284	LONDON	Waltham Forest	00BH	221.1	221.4	4.5	1.5	3.1	-0.2	2.9	224.3	1.3	1.4
285	SOUTH EAST	SOUTH EAST		"7,955.1"	"8,368.5"	102.8	75.6	27.2	40.0	67.2	"8,435.7"	0.8	6.0
286	SOUTH EAST	Bracknell Forest UA	00MA	109.8	114.0	1.6	0.7	0.8	0.2	1.1	115.1	1.0	4.8
287	SOUTH EAST	Brighton and Hove UA	00ML	248.0	253.8	3.2	2.2	1.0	1.5	2.5	256.3	1.0	3.3
288	SOUTH EAST	Isle of Wight UA	00MW	130.0	140.2	1.3	1.7	-0.5	0.5	0.1	140.2	0.0	7.8
289	SOUTH EAST	Medway  UA	00LC	246.4	253.5	3.5	2.1	1.4	-0.1	1.3	254.8	0.5	3.4
290	SOUTH EAST	Milton Keynes UA	00MG	206.7	232.9	3.8	1.6	2.2	1.5	3.8	236.7	1.6	14.5
291	SOUTH EAST	Portsmouth UA	00MR	187.8	199.4	2.6	1.6	1.0	3.1	4.2	203.5	2.1	8.4
292	SOUTH EAST	Reading UA	00MC	143.5	149.2	2.5	1.1	1.4	1.1	2.6	151.8	1.7	5.8
293	SOUTH EAST	Slough UA	00MD	118.5	125.8	2.6	0.8	1.8	0.8	2.6	128.4	2.1	8.4
294	SOUTH EAST	Southampton UA	00MS	216.1	234.1	3.3	1.9	1.4	1.1	2.6	236.7	1.1	9.5
295	SOUTH EAST	West Berkshire UA	00MB	144.1	151.4	2.0	1.1	0.8	0.7	1.5	153.0	1.1	6.2
296	SOUTH EAST	Windsor and Maidenhead UA	00ME	132.9	141.7	1.8	1.3	0.5	1.5	2.1	143.8	1.5	8.2
297	SOUTH EAST	Wokingham UA	00MF	147.9	159.7	1.9	1.0	0.9	1.3	2.2	161.9	1.4	9.5
298	SOUTH EAST	Buckinghamshire		475.9	491.5	6.0	3.8	2.1	1.1	3.2	494.7	0.7	4.0
299	SOUTH EAST	Aylesbury Vale	11UB	162.7	172.0	2.1	1.3	0.8	0.7	1.5	173.5	0.9	6.6
300	SOUTH EAST	Chiltern	11UC	90.2	91.3	0.9	0.7	0.2	-0.5	-0.3	90.9	-0.4	0.8
301	SOUTH EAST	South Bucks	11UE	61.5	65.7	0.7	0.6	0.1	0.8	0.9	66.6	1.4	8.3
302	SOUTH EAST	Wycombe	11UF	161.5	162.5	2.3	1.2	1.1	0.1	1.2	163.6	0.7	1.3
303	SOUTH EAST	East Sussex		489.4	511.1	5.1	6.2	-1.1	2.1	1.0	512.1	0.2	4.6
304	SOUTH EAST	Eastbourne	21UC	88.7	96.2	1.1	1.3	-0.1	0.4	0.2	96.4	0.2	8.7
305	SOUTH EAST	Hastings	21UD	84.1	86.3	1.1	1.0	0.2	0.4	0.6	86.9	0.7	3.3
306	SOUTH EAST	Lewes	21UF	90.8	95.7	0.9	1.0	-0.1	0.8	0.7	96.4	0.7	6.2
307	SOUTH EAST	Rother	21UG	86.3	89.5	0.7	1.4	-0.7	0.4	-0.3	89.2	-0.3	3.4
308	SOUTH EAST	Wealden	21UH	139.4	143.4	1.2	1.6	-0.4	0.1	-0.3	143.1	-0.2	2.7
309	SOUTH EAST	Hampshire		"1,232.8"	"1,283.6"	14.5	11.5	3.0	2.8	5.7	"1,289.4"	0.5	4.6
310	SOUTH EAST	Basingstoke and Deane	24UB	151.2	161.5	2.1	1.1	0.9	0.8	1.8	163.3	1.1	8.0
311	SOUTH EAST	East Hampshire	24UC	108.6	111.2	1.2	1.1	0.1	0.6	0.7	111.9	0.6	3.0
312	SOUTH EAST	Eastleigh	24UD	114.5	120.0	1.4	0.9	0.5	0.3	0.8	120.8	0.7	5.5
313	SOUTH EAST	Fareham	24UE	106.2	110.9	1.1	1.0	0.0	0.6	0.6	111.5	0.5	5.0
314	SOUTH EAST	Gosport	24UF	76.4	80.1	1.0	0.8	0.2	-0.4	-0.1	80.0	-0.1	4.7
315	SOUTH EAST	Hart	24UG	83.0	90.9	1.1	0.6	0.5	-0.2	0.3	91.2	0.3	9.9
316	SOUTH EAST	Havant	24UH	117.3	116.5	1.3	1.3	0.0	0.0	0.0	116.5	0.0	-0.7
317	SOUTH EAST	New Forest	24UJ	169.2	175.8	1.6	2.0	-0.4	1.0	0.6	176.4	0.3	4.3
318	SOUTH EAST	Rushmoor	24UL	90.5	91.1	1.3	0.6	0.7	-0.6	0.1	91.1	0.0	0.7
319	SOUTH EAST	Test Valley	24UN	108.7	113.5	1.3	1.0	0.2	-0.4	-0.2	113.4	-0.1	4.3
320	SOUTH EAST	Winchester	24UP	107.3	112.2	1.2	1.0	0.1	0.9	1.1	113.3	1.0	5.6
321	SOUTH EAST	Kent		"1,316.7"	"1,401.7"	16.9	13.8	3.1	6.3	9.4	"1,411.1"	0.7	7.2
322	SOUTH EAST	Ashford	29UB	100.1	113.0	1.5	0.9	0.5	0.6	1.1	114.1	1.0	14.0
323	SOUTH EAST	Canterbury	29UC	133.7	148.1	1.5	1.6	-0.1	1.1	1.0	149.1	0.7	11.5
324	SOUTH EAST	Dartford	29UD	85.0	92.8	1.3	0.8	0.5	0.3	0.8	93.6	0.9	10.1
325	SOUTH EAST	Dover	29UE	104.0	106.2	1.2	1.2	0.0	0.0	-0.1	106.1	-0.1	2.0
326	SOUTH EAST	Gravesham	29UG	94.6	98.5	1.3	0.9	0.4	-0.1	0.3	98.8	0.3	4.4
327	SOUTH EAST	Maidstone	29UH	137.9	146.8	1.8	1.4	0.4	1.0	1.4	148.2	1.0	7.5
328	SOUTH EAST	Sevenoaks	29UK	109.6	112.8	1.3	1.0	0.3	0.2	0.4	113.2	0.4	3.3
329	SOUTH EAST	Shepway	29UL	95.8	99.8	1.2	1.1	0.1	0.4	0.5	100.3	0.5	4.7
330	SOUTH EAST	Swale	29UM	120.1	130.8	1.7	1.2	0.4	0.7	1.1	131.9	0.8	9.8
331	SOUTH EAST	Thanet	29UN	126.5	130.2	1.6	1.8	-0.2	0.9	0.7	130.9	0.5	3.5
332	SOUTH EAST	Tonbridge and Malling	29UP	106.4	116.0	1.4	0.9	0.5	0.9	1.4	117.4	1.2	10.3
333	SOUTH EAST	Tunbridge Wells	29UQ	103.0	106.8	1.3	1.0	0.4	0.4	0.8	107.6	0.7	4.5
334	SOUTH EAST	Oxfordshire		603.8	635.5	8.0	5.0	3.1	1.7	4.8	640.3	0.8	6.0
335	SOUTH EAST	Cherwell	38UB	130.0	138.8	1.9	1.1	0.8	-0.3	0.4	139.2	0.3	7.1
336	SOUTH EAST	Oxford	38UC	136.5	146.5	2.0	0.9	1.1	1.7	2.8	149.3	1.9	9.4
337	SOUTH EAST	South Oxfordshire	38UD	127.9	130.0	1.5	1.1	0.4	0.2	0.6	130.6	0.5	2.1
338	SOUTH EAST	Vale of White Horse	38UE	113.8	118.1	1.4	0.9	0.5	0.1	0.6	118.7	0.5	4.3
339	SOUTH EAST	West Oxfordshire	38UF	95.6	102.1	1.2	0.9	0.3	0.1	0.4	102.5	0.4	7.2
340	SOUTH EAST	Surrey		"1,055.7"	"1,100.7"	13.5	9.3	4.2	8.2	12.4	"1,113.1"	1.1	5.4
341	SOUTH EAST	Elmbridge	43UB	122.1	129.5	1.7	1.1	0.7	0.3	1.0	130.6	0.8	7.0
342	SOUTH EAST	Epsom and Ewell	43UC	67.3	71.8	0.9	0.6	0.3	0.6	1.0	72.7	1.3	8.0
343	SOUTH EAST	Guildford	43UD	128.5	134.2	1.6	1.0	0.6	0.9	1.5	135.7	1.1	5.6
344	SOUTH EAST	Mole Valley	43UE	80.3	83.4	0.8	0.8	0.0	0.4	0.5	83.8	0.5	4.4
345	SOUTH EAST	Reigate and Banstead	43UF	125.0	133.4	1.7	1.2	0.5	2.2	2.7	136.1	2.0	8.9
346	SOUTH EAST	Runnymede	43UG	77.1	82.2	0.9	0.7	0.3	1.4	1.7	83.9	2.1	8.8
347	SOUTH EAST	Spelthorne	43UH	90.6	91.8	1.2	0.8	0.4	0.4	0.8	92.6	0.9	2.2
348	SOUTH EAST	Surrey Heath	43UJ	81.4	83.0	1.0	0.6	0.4	0.4	0.8	83.9	1.1	3.1
349	SOUTH EAST	Tandridge	43UK	78.5	81.3	0.9	0.8	0.1	0.8	0.9	82.2	1.1	4.7
350	SOUTH EAST	Waverley	43UL	115.5	118.5	1.3	1.1	0.2	0.6	0.8	119.3	0.7	3.3
351	SOUTH EAST	Woking	43UM	89.6	91.6	1.3	0.7	0.6	0.2	0.8	92.4	0.9	3.1
352	SOUTH EAST	West Sussex		749.1	788.6	8.8	8.8	0.0	4.4	4.4	792.9	0.5	5.8
353	SOUTH EAST	Adur	45UB	58.8	61.0	0.7	0.7	0.0	0.4	0.3	61.3	0.5	4.3
354	SOUTH EAST	Arun	45UC	139.4	149.6	1.5	2.1	-0.6	0.8	0.3	149.9	0.2	7.5
355	SOUTH EAST	Chichester	45UD	106.0	111.8	1.1	1.4	-0.2	1.0	0.8	112.6	0.7	6.2
356	SOUTH EAST	Crawley	45UE	99.4	104.0	1.5	0.8	0.7	0.6	1.3	105.3	1.3	5.9
357	SOUTH EAST	Horsham	45UF	120.9	129.2	1.3	1.2	0.2	0.5	0.6	129.8	0.5	7.4
358	SOUTH EAST	Mid Sussex	45UG	127.2	130.9	1.5	1.3	0.1	0.6	0.7	131.6	0.5	3.5
359	SOUTH EAST	Worthing	45UH	97.5	102.1	1.2	1.4	-0.2	0.5	0.3	102.4	0.3	5.0
360	SOUTH WEST	SOUTH WEST		"4,881.0"	"5,210.4"	58.0	53.1	4.9	15.9	20.9	"5,231.2"	0.4	7.2
361	SOUTH WEST	Bath and North East Somerset UA	00HA	167.1	177.4	1.8	1.6	0.2	0.2	0.3	177.7	0.2	6.3
362	SOUTH WEST	Bournemouth UA	00HN	161.6	164.6	2.2	2.0	0.2	0.2	0.3	164.9	0.2	2.0
363	SOUTH WEST	"Bristol, City of UA"	00HB	391.0	426.1	6.1	3.5	2.6	4.3	6.9	433.1	1.6	10.8
364	SOUTH WEST	Cornwall UA	00HE	490.6	529.2	5.4	6.0	-0.6	2.5	1.9	531.1	0.4	8.3
371	SOUTH WEST	Isles of Scilly UA	00HF	2.0	2.3	0.0	0.0	0.0	-0.1	-0.1	2.2	-4.3	10.0
372	SOUTH WEST	North Somerset UA	00HC	186.7	207.0	2.3	2.2	0.2	1.9	2.1	209.1	1.0	12.0
373	SOUTH WEST	Plymouth UA	00HG	242.0	255.6	3.2	2.4	0.8	0.3	1.1	256.7	0.4	6.1
374	SOUTH WEST	Poole UA	00HP	138.3	140.7	1.6	1.6	0.0	0.5	0.5	141.2	0.4	2.1
375	SOUTH WEST	South Gloucestershire UA	00HD	241.6	260.4	3.0	2.0	1.0	0.8	1.8	262.2	0.7	8.5
376	SOUTH WEST	Swindon UA	00HX	179.3	196.0	2.8	1.5	1.3	1.4	2.7	198.8	1.4	10.9
377	SOUTH WEST	Torbay UA	00HH	126.3	134.0	1.4	1.8	-0.4	0.4	0.0	134.0	0.0	6.1
378	SOUTH WEST	Wiltshire UA	00HY	425.3	454.1	5.2	4.1	1.1	1.0	2.1	456.1	0.4	7.2
383	SOUTH WEST	Devon		692.3	746.8	7.1	8.3	-1.2	1.8	0.6	747.4	0.1	8.0
384	SOUTH WEST	East Devon	18UB	123.5	133.0	1.1	1.8	-0.7	0.4	-0.3	132.7	-0.2	7.4
385	SOUTH WEST	Exeter	18UC	109.7	118.5	1.4	1.0	0.4	-0.1	0.3	118.8	0.3	8.3
386	SOUTH WEST	Mid Devon	18UD	67.8	75.6	0.8	0.8	0.1	0.3	0.4	76.0	0.5	12.1
387	SOUTH WEST	North Devon	18UE	86.4	91.5	1.0	1.0	-0.1	0.0	0.0	91.5	0.0	5.9
388	SOUTH WEST	South Hams	18UG	81.4	83.6	0.7	0.9	-0.3	0.1	-0.1	83.5	-0.1	2.6
389	SOUTH WEST	Teignbridge	18UH	119.1	126.6	1.1	1.5	-0.3	0.7	0.4	126.9	0.2	6.5
390	SOUTH WEST	Torridge	18UK	56.7	65.3	0.6	0.7	-0.1	0.1	0.0	65.3	0.0	15.2
391	SOUTH WEST	West Devon	18UL	47.7	52.8	0.4	0.6	-0.1	0.0	-0.1	52.7	-0.2	10.5
392	SOUTH WEST	Dorset		385.4	405.8	3.7	4.9	-1.1	-0.6	-1.7	404.0	-0.4	4.8
393	SOUTH WEST	Christchurch	19UC	44.5	46.7	0.4	0.6	-0.2	0.5	0.3	47.0	0.6	5.6
394	SOUTH WEST	East Dorset	19UD	82.9	87.7	0.7	1.0	-0.4	0.2	-0.2	87.6	-0.1	5.7
395	SOUTH WEST	North Dorset	19UE	60.4	65.7	0.7	0.7	0.0	-1.4	-1.4	64.3	-2.1	6.5
396	SOUTH WEST	Purbeck	19UG	44.4	45.4	0.4	0.5	-0.1	-0.1	-0.2	45.2	-0.4	1.8
397	SOUTH WEST	West Dorset	19UH	90.8	96.7	0.9	1.3	-0.4	0.2	-0.2	96.5	-0.2	6.3
398	SOUTH WEST	Weymouth and Portland	19UJ	62.5	63.7	0.7	0.8	-0.1	0.0	0.0	63.6	-0.2	1.8
399	SOUTH WEST	Gloucestershire		561.0	586.2	6.6	5.6	1.1	1.9	3.0	589.1	0.5	5.0
400	SOUTH WEST	Cheltenham	23UB	108.6	112.7	1.4	1.0	0.3	0.9	1.2	113.9	1.1	4.9
401	SOUTH WEST	Cotswold	23UC	80.6	83.6	0.7	0.9	-0.1	0.0	-0.1	83.5	-0.1	3.6
402	SOUTH WEST	Forest of Dean	23UD	79.3	82.9	0.8	0.8	0.0	-0.1	0.0	82.8	-0.1	4.4
403	SOUTH WEST	Gloucester	23UE	109.5	116.5	1.7	1.0	0.7	0.0	0.8	117.3	0.7	7.1
404	SOUTH WEST	Stroud	23UF	107.7	110.6	1.1	1.1	0.0	0.5	0.5	111.1	0.5	3.2
405	SOUTH WEST	Tewkesbury	23UG	75.3	79.9	0.9	0.8	0.1	0.5	0.6	80.6	0.9	7.0
406	SOUTH WEST	Somerset		490.4	524.2	5.6	5.7	-0.1	-0.6	-0.7	523.5	-0.1	6.7
407	SOUTH WEST	Mendip	40UB	101.9	108.9	1.1	1.1	0.1	-0.3	-0.2	108.7	-0.2	6.7
408	SOUTH WEST	Sedgemoor	40UC	104.2	112.3	1.2	1.3	-0.1	-0.1	-0.2	112.1	-0.2	7.6
409	SOUTH WEST	South Somerset	40UD	150.2	158.8	1.7	1.7	0.0	-0.3	-0.2	158.6	-0.1	5.6
410	SOUTH WEST	Taunton Deane	40UE	99.6	108.6	1.3	1.2	0.0	0.1	0.1	108.7	0.1	9.1
411	SOUTH WEST	West Somerset	40UF	34.5	35.6	0.3	0.5	-0.2	0.0	-0.2	35.4	-0.6	2.6
412	WALES	WALES		"2,900.6"	"2,990.1"	35.0	31.7	3.3	5.9	9.2	"2,999.3"	0.3	3.4
413	WALES	Isle of Anglesey	00NA	68.0	68.8	0.8	0.8	0.0	0.0	0.0	68.8	0.0	1.2
414	WALES	Gwynedd	00NC	116.4	118.6	1.3	1.3	0.0	0.2	0.2	118.8	0.2	2.1
415	WALES	Conwy	00NE	108.3	111.4	1.2	1.6	-0.4	0.4	0.0	111.4	0.0	2.9
416	WALES	Denbighshire	00NG	91.5	96.7	1.0	1.2	-0.2	0.2	0.0	96.7	0.0	5.7
417	WALES	Flintshire	00NJ	146.8	149.7	1.7	1.4	0.3	-0.1	0.2	149.9	0.1	2.1
418	WALES	Wrexham	00NL	126.9	132.7	1.7	1.3	0.4	0.1	0.5	133.2	0.4	5.0
419	WALES	Powys	00NN	125.6	131.7	1.3	1.5	-0.2	0.3	0.1	131.7	0.0	4.9
420	WALES	Ceredigion	00NQ	74.0	76.8	0.6	0.7	-0.1	-0.3	-0.4	76.4	-0.5	3.2
421	WALES	Pembrokeshire	00NS	111.7	117.6	1.2	1.4	-0.1	0.0	-0.2	117.4	-0.2	5.1
422	WALES	Carmarthenshire	00NU	172.3	180.7	1.9	2.2	-0.3	0.4	0.1	180.8	0.1	4.9
423	WALES	Swansea	00NX	225.1	230.1	2.6	2.5	0.2	1.1	1.3	231.3	0.5	2.8
424	WALES	Neath Port Talbot	00NZ	135.4	137.6	1.5	1.7	-0.1	0.0	-0.1	137.4	-0.1	1.5
425	WALES	Bridgend	00PB	128.6	133.9	1.6	1.4	0.2	0.1	0.3	134.2	0.2	4.4
426	WALES	The Vale of Glamorgan	00PD	117.9	124.1	1.4	1.2	0.3	0.2	0.5	124.6	0.4	5.7
427	WALES	Cardiff	00PT	310.3	330.5	4.6	2.7	1.9	3.8	5.7	336.2	1.7	8.3
428	WALES	"Rhondda, Cynon, Taff"	00PF	233.9	234.4	3.0	2.5	0.5	-0.5	0.0	234.4	0.0	0.2
429	WALES	Merthyr Tydfil	00PH	56.5	55.6	0.7	0.6	0.1	0.0	0.1	55.7	0.2	-1.4
430	WALES	Caerphilly	00PK	168.6	172.4	2.2	1.7	0.5	-0.1	0.4	172.7	0.2	2.4
431	WALES	Blaenau Gwent	00PL	71.0	68.8	0.8	0.8	0.0	-0.1	-0.1	68.6	-0.3	-3.4
432	WALES	Torfaen	00PM	91.1	90.6	1.1	1.0	0.1	0.0	0.1	90.7	0.1	-0.4
433	WALES	Monmouthshire	00PP	84.0	87.8	0.9	0.9	0.0	0.1	0.1	88.0	0.2	4.8
434	WALES	Newport	00PR	136.6	139.7	1.9	1.4	0.5	0.2	0.7	140.4	0.5	2.8
435	SCOTLAND	SCOTLAND		"5,072.0"	"5,168.5"	59.3	54.7	4.6	20.9	25.5	"5,194.0"	0.5	2.4
436	SCOTLAND	Aberdeen City	00QA	214.6	210.4	2.6	2.1	0.5	2.9	3.4	213.8	1.6	-0.4
437	SCOTLAND	Aberdeenshire	00QB	227.2	241.5	2.8	2.2	0.6	1.4	2.1	243.5	0.8	7.2
438	SCOTLAND	Angus	00QC	109.6	110.3	1.1	1.3	-0.1	0.1	-0.1	110.3	0.0	0.6
439	SCOTLAND	Argyll & Bute	00QD	91.6	90.5	0.8	1.1	-0.3	-0.2	-0.5	90.0	-0.6	-1.7
440	SCOTLAND	Clackmannanshire	00QF	48.2	50.5	0.6	0.5	0.1	0.0	0.1	50.5	0.0	4.8
441	SCOTLAND	Dumfries & Galloway	00QH	148.2	148.6	1.4	1.7	-0.3	0.2	-0.1	148.5	-0.1	0.2
442	SCOTLAND	Dundee City	00QJ	148.0	142.5	1.8	1.7	0.1	0.8	0.9	143.4	0.6	-3.1
443	SCOTLAND	East Ayrshire	00QK	120.6	119.9	1.4	1.3	0.0	0.3	0.3	120.2	0.3	-0.3
444	SCOTLAND	East Dunbartonshire	00QL	108.7	104.7	0.9	0.9	0.0	-0.1	0.0	104.7	0.0	-3.7
445	SCOTLAND	East Lothian	00QM	89.1	96.1	1.1	1.0	0.1	0.7	0.7	96.8	0.7	8.6
446	SCOTLAND	East Renfrewshire	00QN	88.5	89.2	0.8	0.8	0.0	0.0	0.0	89.2	0.0	0.8
447	SCOTLAND	"Edinburgh, City of"	00QP	447.2	471.7	5.5	4.3	1.2	4.8	6.0	477.7	1.3	6.8
448	SCOTLAND	Eilean Siar	00RJ	27.2	26.2	0.3	0.3	-0.1	0.1	0.0	26.2	0.0	-3.7
449	SCOTLAND	Falkirk	00QQ	144.6	151.6	1.9	1.6	0.3	0.6	0.9	152.5	0.6	5.5
450	SCOTLAND	Fife	00QR	347.0	361.9	4.2	3.9	0.3	1.3	1.6	363.5	0.4	4.8
451	SCOTLAND	Glasgow City	00QS	583.0	584.2	7.3	6.7	0.6	3.6	4.2	588.5	0.7	0.9
452	SCOTLAND	Highland	00QT	209.2	219.4	2.5	2.3	0.2	0.9	1.1	220.5	0.5	5.4
453	SCOTLAND	Inverclyde	00QU	85.3	80.8	0.8	1.0	-0.2	-0.4	-0.6	80.2	-0.7	-6.0
454	SCOTLAND	Midlothian	00QW	80.6	80.6	0.9	0.8	0.1	0.1	0.3	80.8	0.2	0.2
455	SCOTLAND	Moray	00QX	86.8	87.8	1.0	0.9	0.1	-0.2	-0.1	87.7	-0.1	1.0
456	SCOTLAND	North Ayrshire	00QY	137.2	135.9	1.5	1.7	-0.2	-0.2	-0.4	135.5	-0.3	-1.2
457	SCOTLAND	North Lanarkshire	00QZ	322.2	325.5	4.2	3.3	0.8	0.0	0.8	326.3	0.2	1.3
458	SCOTLAND	Orkney Islands	00RA	19.4	19.9	0.2	0.2	0.0	0.1	0.1	20.0	0.5	3.1
459	SCOTLAND	Perth & Kinross	00RB	135.2	144.2	1.4	1.5	-0.1	1.8	1.7	145.9	1.2	7.9
460	SCOTLAND	Renfrewshire	00RC	174.4	169.8	1.9	1.9	0.0	0.2	0.1	169.9	0.1	-2.6
461	SCOTLAND	Scottish Borders	00QE	105.8	112.4	1.2	1.3	-0.1	0.4	0.3	112.7	0.3	6.5
462	SCOTLAND	Shetland Islands	00RD	22.5	22.0	0.3	0.2	0.1	0.2	0.2	22.2	0.9	-1.3
463	SCOTLAND	South Ayrshire	00RE	112.9	111.7	1.1	1.4	-0.4	0.1	-0.2	111.4	-0.3	-1.3
464	SCOTLAND	South Lanarkshire	00RF	302.6	310.1	3.5	3.2	0.3	0.5	0.8	310.9	0.3	2.7
465	SCOTLAND	Stirling	00RG	85.5	88.4	0.9	0.8	0.0	0.4	0.4	88.7	0.3	3.7
466	SCOTLAND	West Dunbartonshire	00QG	94.4	90.9	1.1	1.1	0.0	0.0	0.0	90.9	0.0	-3.7
467	SCOTLAND	West Lothian	00RH	154.8	169.5	2.3	1.4	0.9	0.6	1.5	171.0	0.9	10.5
468	NORTHERN IRELAND	NORTHERN IRELAND		"1,679.0"	"1,775.0"	25.4	14.8	10.6	3.3	13.9	"1,788.9"	0.8	6.5
469	NORTHERN IRELAND	Antrim	95T	48.7	53.2	0.8	0.4	0.5	0.3	0.8	54.0	1.5	10.9
470	NORTHERN IRELAND	Ards	95X	71.8	77.6	0.9	0.6	0.3	0.2	0.5	78.1	0.6	8.8
471	NORTHERN IRELAND	Armagh	95O	52.6	58.2	0.9	0.4	0.4	0.2	0.7	58.8	1.0	11.8
472	NORTHERN IRELAND	Ballymena	95G	58.1	62.7	0.8	0.5	0.3	0.1	0.4	63.2	0.8	8.8
473	NORTHERN IRELAND	Ballymoney	95D	26.0	30.1	0.4	0.2	0.2	0.2	0.3	30.4	1.0	16.9
474	NORTHERN IRELAND	Banbridge	95Q	39.9	47.0	0.7	0.4	0.4	0.2	0.6	47.6	1.3	19.3
475	NORTHERN IRELAND	Belfast	95Z	283.2	268.3	3.9	2.9	1.0	-0.9	0.1	268.4	0.0	-5.2
476	NORTHERN IRELAND	Carrickfergus	95V	37.1	40.0	0.5	0.3	0.2	-0.1	0.1	40.1	0.3	8.1
